gene,log2FoldChange,pvalue,padj
PRKCE,0.837358378,0.156221145,0.356470218
ELOB,-1.083428738,0.156229939,0.356470218
MARK2,-0.812286847,0.156259024,0.356492477
KLF8,1.300766432,0.15645186,0.35688827
TBC1D4,-1.134200818,0.156518438,0.356971019
SNORD81,-1.660059091,0.156526847,0.356971019
HS3ST3A1,3.888589605,0.156569003,0.357023011
CKM,3.69914165,0.156632917,0.3571246
TERF2,-0.719645979,0.156660016,0.357142234
GDF5,3.383798049,0.156806183,0.357431274
SLC22A25,2.616760725,0.156885927,0.357568852
SEPTIN7P14,-3.3197403,0.156928322,0.357621283
DNAJC22,4.370797173,0.157000392,0.357741319
CSNK2A2,-0.98432991,0.157060775,0.357807886
NDUFB2,-1.319414057,0.157068408,0.357807886
PRRX2,2.319386438,0.157156912,0.357918075
EXT1,1.281706179,0.15718614,0.357918075
AP5M1,1.195612366,0.157224743,0.357918075
ZNF833P,2.527712758,0.157246867,0.357918075
BEX5,-2.033729275,0.157259154,0.357918075
EIF4EBP1,1.236242561,0.157284449,0.357918075
WDR64,5.090345099,0.157291438,0.357918075
KPNA7,5.090345099,0.157291438,0.357918075
KPNA7,5.090345099,0.157291438,0.357918075
SLC13A1,5.090345099,0.157291438,0.357918075
SUMO3,-1.262015429,0.157399911,0.358100784
RRAGA,-0.967162196,0.15742043,0.358100784
ZNF572,2.078053435,0.157429982,0.358100784
PLP2,-1.26407915,0.15759153,0.358424047
HEATR6,1.577871593,0.157651862,0.358487154
ZHX1-C8orf76,3.708143138,0.157663619,0.358487154
CENPF,1.160383031,0.157691053,0.358487154
PA2G4,-0.825737223,0.157697028,0.358487154
WWC3,0.758787368,0.157722331,0.358500487
PPFIA2,2.030894766,0.157863415,0.358744526
REREP3,3.329394357,0.157868599,0.358744526
KDM4C,1.064908569,0.157898984,0.358769368
TGM3,2.744717216,0.158104674,0.359179679
RHOBTB1,-1.175178914,0.158118517,0.359179679
RIPOR1,-0.811094657,0.158183333,0.359224328
LRRC3B,2.422064076,0.158190054,0.359224328
FAM89A,-0.937673839,0.158196606,0.359224328
SLC25A4,-1.219729977,0.158234496,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
C2,-1.895016045,0.158238626,0.359231288
RGS12,1.150587383,0.158276644,0.359273372
ATG2A,0.818324519,0.158339141,0.359340084
ACTR6,-1.210172123,0.158345002,0.359340084
CAMKMT,1.289418463,0.158370859,0.359354545
PCDH18,-2.441133103,0.158394589,0.359364179
TRANK1,1.07734374,0.158431288,0.359403228
EREG,1.890086742,0.158664175,0.359887269
LMO3,2.043812052,0.158793106,0.360135423
BTN3A2,-1.462783592,0.158942649,0.360430256
CCDC80,1.187040807,0.159038061,0.360602283
NUP98,-0.794262471,0.159130134,0.360766695
REL,-0.698556191,0.159189675,0.360857322
ADD2,1.520396406,0.159214208,0.360868581
FAM214B,0.884215933,0.159236771,0.36087537
SMIM10,-1.623598143,0.159284512,0.360939213
CCDC61,1.63397468,0.159306731,0.360945213
COL6A4P2,1.854100056,0.159473505,0.361259482
PPM1H,-1.404903389,0.159484612,0.361259482
LSM2,-1.987631271,0.159568705,0.361405578
LSM2,-1.987631271,0.159568705,0.361405578
LSM2,-1.987631271,0.159568705,0.361405578
LSM2,-1.987631271,0.159568705,0.361405578
LSM2,-1.987631271,0.159568705,0.361405578
LSM2,-1.987631271,0.159568705,0.361405578
ISM1,-1.786330324,0.159612272,0.361459864
TSSK3,1.677964862,0.159726147,0.361656456
ZNF28,-1.232753975,0.159738301,0.361656456
DEPDC1B,3.363102952,0.159792652,0.361686817
CCL22,2.968530732,0.159822722,0.361686817
SLITRK1,2.865532174,0.159825394,0.361686817
GLMP,-1.172124466,0.159846297,0.361686817
NTM,1.907174592,0.159849767,0.361686817
LRTOMT,1.635624274,0.159889789,0.361732995
LRTOMT,1.635624274,0.159889789,0.361732995
AUH,-1.079080156,0.159971967,0.361835278
NLGN1,-3.050833767,0.159974237,0.361835278
NSMAF,-0.837102741,0.160060069,0.361985022
SMIM11,1.145642591,0.160163514,0.362174558
RPS16,-0.727270728,0.160263866,0.362357053
H4-16,-1.324483837,0.16033143,0.362465379
REXO1L1P,5.252593273,0.160352787,0.362469231
MIR181A1HG,2.070413028,0.160379448,0.362485068
CACNA1H,1.733592581,0.160451127,0.362602639
FKTN,1.125570807,0.160511742,0.362695179
UBC,-1.111895624,0.160669347,0.363006832
HES1,-1.470596982,0.160816774,0.363295415
CCDC122,1.417236898,0.160885441,0.36331704
ING2-DT,2.628838231,0.160888635,0.36331704
ETV1,-1.523529706,0.160894045,0.36331704
ZNF513,1.263268571,0.160905145,0.36331704
EEF2K,0.928493096,0.161007755,0.363504226
EEF2K,0.928493096,0.161007755,0.363504226
RPL19,-0.841125196,0.161028359,0.363506245
PIR,-1.668154206,0.16105282,0.363508366
HOXA10,4.624643849,0.161068718,0.363508366
POLR3K,-1.444682532,0.16108962,0.363511057
RBMXL1,-0.984300231,0.161154234,0.363612373
PARS2,1.585672109,0.161190305,0.363613758
TNRC18,-0.69282854,0.161194279,0.363613758
INIP,-1.480620613,0.161255455,0.363707272
ST8SIA5,2.311055962,0.161308246,0.363781852
SHANK2,1.565998086,0.161491923,0.364097533
TREML2,-2.802457235,0.16149613,0.364097533
TDRD9,1.453859168,0.161507451,0.364097533
LYRM2,-0.901708641,0.161575456,0.364138437
RNF224,4.680296383,0.161614057,0.364138437
CD1C,2.902307116,0.161619439,0.364138437
ERBB3,1.743022914,0.161619915,0.364138437
TEDC2,3.200429819,0.161654593,0.364138437
TMEM102,1.229214957,0.161655721,0.364138437
TMEM102,1.229214957,0.161655721,0.364138437
ZC3HAV1L,1.103354913,0.161663803,0.364138437
KIF25,3.80358847,0.161867214,0.364552086
GRID2,2.428508239,0.161887911,0.36455418
TIGIT,2.912573202,0.161969147,0.364626217
GLDN,-1.386237671,0.161974345,0.364626217
ATP2A2,0.717865758,0.161979211,0.364626217
NUDT9P1,2.879711828,0.162001133,0.364631058
TMEM248,-0.739726002,0.162041148,0.364676619
ADCY9,0.661549871,0.16206514,0.364686113
GPT2,1.288215106,0.16212427,0.364774663
TAF10,-0.856294439,0.162241964,0.364994943
GRID1,1.424220027,0.162334968,0.365124523
OVOL3,3.39416706,0.162339158,0.365124523
ADAL,1.65136994,0.162417715,0.365234409
STMN2,2.075939388,0.162436342,0.365234409
SURF2,1.294780226,0.162455472,0.365234409
SURF2,1.294780226,0.162455472,0.365234409
LINC01141,-1.963145959,0.162467228,0.365234409
SQOR,-1.253209071,0.162521465,0.365276933
ZNF239,-3.325078986,0.162532008,0.365276933
CHGA,2.328649396,0.162545561,0.365276933
CHGA,2.328649396,0.162545561,0.365276933
MTERF4,1.002446533,0.162630587,0.365423479
MYH3,1.125335499,0.162677236,0.36548377
UPK1B,3.109638316,0.162780078,0.365670278
POLB,-1.15247366,0.162837509,0.365754741
SCG5,2.871339025,0.162909395,0.365871647
SCG5,2.871339025,0.162909395,0.365871647
SCG5,2.871339025,0.162909395,0.365871647
MT1L,-1.940465483,0.162942075,0.365900486
TSPAN4,-1.299400575,0.162968065,0.365914295
BNIP3L,-0.753907438,0.163048929,0.366014023
ANKRD52,0.70006016,0.16306892,0.366014023
ALG11,-3.257836951,0.163080249,0.366014023
KIF5B,-0.62614309,0.163091864,0.366014023
DUSP26,-3.400117546,0.163183625,0.366167023
BIRC2,-0.915332614,0.163199747,0.366167023
MVD,0.988165659,0.163286938,0.366318088
AICDA,3.823591323,0.163387762,0.366499695
TSPAN11,3.261546282,0.163445208,0.366583969
VCP,-0.746333263,0.163475099,0.3665895
RPL14,-1.234286191,0.163487428,0.3665895
HDAC5,0.651946924,0.163547463,0.366679535
COMT,-0.753334789,0.163608006,0.366693455
SUGP2,0.980648066,0.16362084,0.366693455
MEIOC,3.068764008,0.163624164,0.366693455
SSB,-1.067959392,0.163633201,0.366693455
TBCA,1.170433767,0.163683007,0.366760502
UGDH,-1.097108015,0.163794014,0.366922696
TAF1D,1.233041297,0.163795183,0.366922696
DRICH1,2.26484639,0.163875595,0.367058245
TPD52L2,-1.089917494,0.163913685,0.367092021
TMEM187,-2.194150427,0.163941871,0.367092021
NPRL2,1.455303093,0.163950387,0.367092021
GSTM3,2.074234309,0.164063976,0.367301761
SMARCA4,0.743935493,0.164248012,0.367669144
MS4A1,2.193906372,0.164294249,0.367728015
VPS33A,-1.171708827,0.164322717,0.367747103
ARL8A,-1.025491449,0.164387079,0.367846506
DCP1A,-0.936999825,0.164455912,0.367924743
TMEM215,3.679875494,0.164461941,0.367924743
ARMCX4,1.376651824,0.164624314,0.368243326
RBM23,-1.026075746,0.16475293,0.368456932
DHX37,1.034719162,0.164759764,0.368456932
RHBDF2,-0.859497961,0.164782741,0.368463638
CRB2,2.136570861,0.164823399,0.368509875
STAMBP,1.065552062,0.164884576,0.36859264
ITGAE,1.181376622,0.164900389,0.36859264
RC3H1,-0.759878433,0.164979548,0.368724891
TESK1,-0.987163218,0.165077967,0.368880072
SPIN1,-0.95877073,0.165088983,0.368880072
CBX8,1.474058826,0.165214515,0.369072302
CENPA,2.517243448,0.165221598,0.369072302
CES3,2.882445793,0.165235048,0.369072302
USP31,1.356940172,0.165265488,0.369095591
PKN3,1.493424422,0.165329862,0.369194654
ARMCX3,-0.640949603,0.16536604,0.369230736
STAG1,-0.867284765,0.165386528,0.369231779
TMEM242,-1.291488498,0.165460773,0.369320813
ANKZF1,0.975575052,0.165466458,0.369320813
LINC01310,2.81669084,0.165486954,0.369321865
SNX11,1.874944557,0.165523795,0.369359389
NOM1,0.962093079,0.165673976,0.369645291
FAM205BP,2.61707386,0.165692003,0.369645291
PIGQ,1.032212172,0.165746482,0.369722106
DNAJB2,-0.788218799,0.165832381,0.36986898
RPL10A,-1.012772308,0.165869323,0.369906642
FIGN,1.62837457,0.166025022,0.370121079
ZNF362,-1.049063853,0.166033191,0.370121079
PLCG1,1.198774131,0.166039018,0.370121079
MORC3,-1.314718769,0.166050821,0.370121079
GNG2,-1.305414281,0.166065821,0.370121079
KLHDC7A,2.650257575,0.166088514,0.370126928
SIN3A,-0.751668746,0.166214644,0.370363257
INHBA,-1.561039724,0.166261956,0.370396677
CDCA7L,-1.735228464,0.166269809,0.370396677
CHML,-1.25996603,0.166369153,0.370573223
SGSM3,1.191278493,0.166446696,0.370671035
USF2,-0.966921215,0.166453262,0.370671035
CLSTN3,0.860363169,0.16647647,0.370677959
CLSTN3,0.860363169,0.16647647,0.370677959
CDC42SE1,-0.78204284,0.166521993,0.370727714
LINC02724,1.574429312,0.166539018,0.370727714
RPIA,1.10748059,0.166605044,0.370829933
FCMR,2.841240431,0.166656127,0.370898871
DMAC2L,-3.22395596,0.166693263,0.370936758
GDPGP1,-2.584051326,0.166715448,0.37094137
FKBP8,-0.707537178,0.166763163,0.371002776
TCAIM,-1.179132419,0.166793168,0.371024773
UHRF1BP1,-0.852545585,0.166870446,0.371134502
RETREG3,-0.930077891,0.166882743,0.371134502
FOS,-1.516665687,0.16692733,0.371188901
CHN1,1.015842957,0.166960334,0.371217533
TLR9,2.111691703,0.167055711,0.371359997
ZSCAN21,-2.024349827,0.167074001,0.371359997
SARM1,-2.05752386,0.167100184,0.371359997
CARD6,-1.160663532,0.167104951,0.371359997
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
ZNRD1ASP,1.307597062,0.167128883,0.371368433
C16orf87,-2.057386971,0.167243289,0.371562362
TBC1D16,0.668053982,0.167256451,0.371562362
PRKDC,-0.572098149,0.167578839,0.372233714
LINC-PINT,1.437575134,0.167643475,0.372302703
ARL3,-1.120108604,0.167650546,0.372302703
ANTXR1,-1.109479651,0.167670458,0.372302703
NDUFAF2,-1.865634544,0.167715825,0.372358608
CCND3,-0.857624699,0.16773788,0.37236275
MED17,0.871832739,0.167838517,0.372541313
SMIM7,-1.139554872,0.167860114,0.372544415
ARID1A,-0.653084964,0.167896703,0.37256854
RAB30,-1.281087006,0.167921677,0.37256854
DQX1,2.872008355,0.167931588,0.37256854
KCNH4,2.494482036,0.168015157,0.372709111
CYB5R4,-1.291649,0.168054758,0.372752123
CHID1,-1.200921603,0.16811742,0.37284627
SLC16A5,1.300014813,0.16828385,0.3731705
RTTN,-0.994917657,0.168361651,0.37329814
ZNF598,0.838418316,0.168396061,0.373314154
ANGPTL3,3.355587765,0.168409357,0.373314154
MIS18BP1,-1.332067806,0.168558664,0.37359076
DCLK3,2.238748113,0.168574652,0.37359076
KTN1,-1.017843002,0.168630146,0.373668842
RAD50,-0.591938663,0.168775372,0.373817227
VPS54,0.843210258,0.168784137,0.373817227
TARS3,-0.763101694,0.16880428,0.373817227
NR2E3,2.753586958,0.168822773,0.373817227
FLJ13224,1.749628583,0.168843362,0.373817227
FLJ13224,1.749628583,0.168843362,0.373817227
DCAKD,-1.986290426,0.168849471,0.373817227
FA2H,2.516344781,0.168868565,0.373817227
C5,-2.131046272,0.168869234,0.373817227
WASH3P,1.577037604,0.168879528,0.373817227
ZC3H8,1.277493542,0.168927487,0.373878513
SNORD119,-1.556319025,0.168974109,0.373936825
CKAP4,-0.831852577,0.169128406,0.374233376
LYAR,0.795680005,0.169236892,0.374338867
RDH10,1.130490587,0.169247821,0.374338867
TEAD3,1.504028012,0.169255851,0.374338867
ZNF17,-1.29696152,0.169257269,0.374338867
MRPS5,0.8326915,0.169316261,0.374424436
TRAF3IP1,0.680340772,0.169399982,0.374564664
GPR180,-1.479667244,0.169436171,0.374599772
CEACAM21,1.247821842,0.169467688,0.374624543
CEACAM21,1.247821842,0.169467688,0.374624543
SNORA72,1.385627653,0.16949383,0.374625535
MFSD4A,1.568505756,0.169508761,0.374625535
ADAT3,1.997537001,0.169591714,0.374763956
NAA16,0.84253544,0.169729806,0.375019359
ANAPC16,-0.798428946,0.169747959,0.375019359
ODF3L1,3.286313608,0.169811872,0.37510017
YPEL5,-1.055692078,0.169825214,0.37510017
RRP1B,-0.742156013,0.169914496,0.37516729
XRCC6P5,2.255614895,0.169915551,0.37516729
NBPF1,0.643228865,0.169916628,0.37516729
SETX,-0.92540041,0.170060507,0.375440021
ABHD17C,1.282763817,0.170107336,0.375489501
CRISP1,4.028014192,0.170123639,0.375489501
KCNMB1,-1.877092439,0.170177656,0.375563781
TAX1BP1,-1.136268637,0.170431607,0.376079221
LINC00470,2.614516303,0.170681067,0.37658463
SPAG17,2.666889112,0.170704337,0.376590919
TRABD2A,-1.24494726,0.170767215,0.376684577
TYK2,1.265173235,0.170806646,0.376715284
TSSK4,1.505009612,0.170821988,0.376715284
TSSK4,1.505009612,0.170821988,0.376715284
ADCY2,1.786850518,0.170887476,0.376769961
METTL27,-2.268438285,0.170887639,0.376769961
C3orf20,2.747472441,0.171014056,0.376955743
CC2D1A,0.899642664,0.171032945,0.376955743
CC2D1A,0.899642664,0.171032945,0.376955743
CDK12,0.726561552,0.171033644,0.376955743
SLC16A12,3.411481222,0.171053658,0.376955743
TTPA,3.091878955,0.171177118,0.377182746
HLA-DRB5,-1.659526326,0.171231583,0.377257685
GRIA3,2.087099847,0.171270441,0.377298226
ZPLD1,3.063527624,0.171403022,0.377545197
CSF3,-2.994271732,0.171440826,0.37755928
ABHD5,-0.895673494,0.171450359,0.37755928
CWC25,1.067115956,0.171478242,0.377575599
CWC25,1.067115956,0.171478242,0.377575599
CAMK2A,2.131359618,0.171627194,0.377828351
UBE2V1,2.645408518,0.171634003,0.377828351
CRABP2,1.823385458,0.171676633,0.377834353
FLNC,0.878013527,0.171677703,0.377834353
DYTN,2.274900945,0.171727848,0.377899619
UBASH3B,1.700587156,0.171786792,0.377984228
FNDC11,2.638610036,0.17186097,0.378102334
RPS3A,-1.25231458,0.171978097,0.378289472
MANCR,5.113683278,0.171987053,0.378289472
NUDT14,-0.812048487,0.172082285,0.378416762
ZBTB11,1.258094252,0.172085961,0.378416762
PYROXD1,-1.520170946,0.172140898,0.378492438
CAPN9,2.338244161,0.172253026,0.378693832
TIGAR,1.375368918,0.172292689,0.378730711
DDX59,-0.99764653,0.172310871,0.378730711
SNORD110,-1.633931729,0.172465909,0.379025568
SLC40A1,-0.713358825,0.172486497,0.379025568
GSTA1,3.242948269,0.172518419,0.379025568
HMGXB4,0.701118343,0.172527227,0.379025568
CD47,-0.680483515,0.172575447,0.379086346
CASP9,1.275937998,0.172604859,0.379105802
SNORD116-23,-1.358651909,0.172736333,0.379349392
IFT22,-1.336992751,0.172876277,0.379611523
CENPS-CORT,2.149451741,0.172922079,0.379621163
CCDC136,1.936178509,0.172922937,0.379621163
ELOVL2,1.631963615,0.172942418,0.379621163
SRSF12,2.545681267,0.173009046,0.379722223
CDK11A,1.586053867,0.173041745,0.3797488
DNAJC10,-1.207156651,0.173080933,0.379789608
SNORD116-16,-1.010436495,0.173130288,0.379825929
ZNF668,1.982693831,0.173138675,0.379825929
FHOD1,1.20283901,0.173256256,0.380038669
PDLIM7,1.515842518,0.173317257,0.380127265
PDE4A,-0.828062286,0.173404135,0.380237557
AKR7A2P1,-2.216472993,0.173422476,0.380237557
UTS2,4.27369193,0.173439347,0.380237557
RHOU,-1.185361295,0.173450012,0.380237557
RHOU,-1.185361295,0.173450012,0.380237557
TRMT12,-1.496945931,0.173485465,0.380270077
SF3A2,-0.801970536,0.173519292,0.380298126
APOL2,1.183408159,0.173539502,0.380298126
MRPL45,-1.005764748,0.173674064,0.380547792
MRPL45,-1.005764748,0.173674064,0.380547792
XKR8,-1.600256935,0.173708121,0.3805772
SPOP,-0.729460956,0.173763695,0.380653739
CYP19A1,4.277555521,0.173999071,0.381124093
BEST4,2.025970019,0.174034651,0.38115676
MBNL2,-0.90128079,0.174215701,0.381507976
IER5L,-1.294054668,0.174288,0.381620988
FAM169A,-1.684094052,0.174318593,0.381642666
MIDEAS,-0.745368668,0.174344302,0.381653645
GRIN2A,1.708474941,0.174367889,0.381656671
THAP7-AS1,-2.294911986,0.174403593,0.381656671
HBP1,-0.795830761,0.174407766,0.381656671
HBP1,-0.795830761,0.174407766,0.381656671
CIBAR1P2,4.429073781,0.174538744,0.381897978
PRR15,2.026991409,0.174658842,0.382115424
WIPF1,-0.723435272,0.174829218,0.382439028
MRPL2,1.018146885,0.17486203,0.382439028
PRKG1,1.063785134,0.174868965,0.382439028
AGPAT5,-1.168838917,0.175081636,0.382858739
AGPAT5,-1.168838917,0.175081636,0.382858739
RNF125,-0.945801734,0.175157636,0.382979523
SEPTIN3,-1.802687934,0.175305191,0.383222479
SGPP2,-1.956064446,0.175310311,0.383222479
MGLL,-0.862067096,0.175335573,0.38323228
CNTN3,2.117425309,0.175367246,0.383235366
FBXO21,-1.057178867,0.175387331,0.383235366
DDX3Y,-1.735266996,0.175399323,0.383235366
WDPCP,1.314717539,0.175482341,0.383347017
MIR137HG,2.612612766,0.175491995,0.383347017
NIFK,-1.317405476,0.175584794,0.383425127
C1R,0.941039741,0.175588333,0.383425127
C1R,0.941039741,0.175588333,0.383425127
IL15,1.424938783,0.175590122,0.383425127
RBM27,-1.066260311,0.175642482,0.383455034
RBM27,-1.066260311,0.175642482,0.383455034
HPS1,1.154907805,0.175645401,0.383455034
SLC41A1,-0.862054238,0.175669342,0.383461909
C5orf22,-1.053834805,0.175712696,0.383511154
SH2D5,3.694370585,0.175828402,0.383718284
ZNF783,0.946152245,0.175994507,0.384035341
PCNX1,0.555369327,0.176084297,0.384185815
MFSD2A,-1.336665318,0.176151405,0.384258342
RGMB,-1.169045593,0.17617918,0.384258342
SMC1B,2.519216033,0.176180044,0.384258342
CDPF1,-2.200504537,0.176252564,0.384347049
LRRC75B,-3.861462468,0.176266023,0.384347049
KIDINS220,-1.1223084,0.176283234,0.384347049
TEX2,-1.101796661,0.176388671,0.384475179
FBXL18,0.872802428,0.176398246,0.384475179
DCTN4,-0.796494786,0.176436108,0.384475179
GPR21,2.0095347,0.176472749,0.384475179
TCEANC,1.569448602,0.176493432,0.384475179
GIN1,-2.56892069,0.17649762,0.384475179
SH3RF2,1.746526632,0.176504909,0.384475179
TMIGD1,4.557315762,0.176508775,0.384475179
GMPR2,-0.99449041,0.176533738,0.384484144
GMPR2,-0.99449041,0.176533738,0.384484144
MCM9,-0.769607669,0.176628892,0.384645962
S100A4,-1.847980469,0.176673991,0.38469875
SPPL3,-0.808820286,0.176703407,0.384702804
MAPKBP1,0.752361532,0.176729557,0.384702804
CRH,4.243217319,0.1767482,0.384702804
LMAN2L,-1.31402886,0.176759289,0.384702804
C19orf18,2.62728861,0.176820756,0.384791173
TCEAL3,-0.944413257,0.176859814,0.384830763
C19orf44,1.839904119,0.177022421,0.385139142
IGBP1,-0.949428476,0.177144124,0.385358467
PPP1R3B,-0.910538377,0.17721434,0.385465748
PPP1R3B,-0.910538377,0.17721434,0.385465748
SHISA7,2.225143711,0.177424216,0.385859897
PEX12,-1.749512022,0.177450311,0.385859897
NOXRED1,3.222289563,0.177458312,0.385859897
CALHM6,-1.85327458,0.17757454,0.386032463
PDZD2,-0.831901421,0.177579538,0.386032463
DRC7,1.798361604,0.177642942,0.386061702
POMK,-1.23107942,0.177652661,0.386061702
NPSR1-AS1,3.099181608,0.177655786,0.386061702
TSKU,-1.49305824,0.177718777,0.386153088
OPRL1,-1.921388572,0.177751064,0.386177743
OPRL1,-1.921388572,0.177751064,0.386177743
SLC17A9,1.76437886,0.177774328,0.386182796
XPNPEP3,-0.971401186,0.177843019,0.386286516
RNF20,-0.723508428,0.177929766,0.386429424
RPL32,-0.817324905,0.17804741,0.386639395
MFAP4,2.044852552,0.178077102,0.386658347
SRSF10,0.889022948,0.17819666,0.386872395
NIFK-AS1,-1.680297908,0.178267415,0.386980453
ERC2,2.040536931,0.178329026,0.387049166
SAFB,0.679237906,0.178341041,0.387049166
TCHP,0.806428949,0.178424469,0.387184668
JAG2,0.866756843,0.178451239,0.3871972
CLK3,0.728977251,0.178488756,0.387233047
PLA2G6,1.1882997,0.178533332,0.387284197
CTDSP2,-0.964714898,0.178738726,0.387684149
NUDT9,-1.063781796,0.178759894,0.387684469
GRP,-3.864234411,0.178893645,0.387928923
TCF15,1.134305423,0.178968724,0.388046107
MYO16-AS1,4.769088336,0.179033333,0.388140563
MRPL14,-1.229371624,0.17908257,0.388201674
LINC00602,3.21121796,0.179206017,0.38841242
TBRG4,1.279143194,0.179221911,0.38841242
NWD2,2.758165685,0.179265933,0.388452367
RAB11FIP2,-1.045925171,0.179282468,0.388452367
MMP14,0.808525429,0.179450375,0.3887705
MCAT,1.394269972,0.179594701,0.389037477
LCMT1,0.860757158,0.179660818,0.389107872
LOC100287036,2.38879525,0.179712346,0.389107872
PTCD3,-0.67332594,0.179718024,0.389107872
TRIO,0.844678926,0.179733375,0.389107872
TPTE2P1,1.422607162,0.179743663,0.389107872
PCDH11Y,-2.079525694,0.179753785,0.389107872
MECOM,1.069340808,0.179845036,0.389259711
UAP1,-1.198954118,0.179942029,0.389423944
COQ7,-1.158547345,0.17998484,0.389470892
FADS2,-0.891740415,0.180017654,0.389496199
LSM14B,-1.031798049,0.180052159,0.389525158
HGSNAT,-0.907686079,0.180160597,0.389695528
LL22NC01-81G9.3,4.206679058,0.180235334,0.389695528
UTP6,-0.79489005,0.180257084,0.389695528
LMNB1,1.275019702,0.180258896,0.389695528
CDC25B,1.077270373,0.180258959,0.389695528
ELF5,4.942079279,0.18027006,0.389695528
SPRING1,-1.151567013,0.180278818,0.389695528
RUNDC3A,-2.023929873,0.180329683,0.389759797
SLC5A8,3.579375115,0.180415934,0.389900523
SLC5A8,3.579375115,0.180415934,0.389900523
PSME1,-1.101929298,0.180561908,0.390151878
PSME1,-1.101929298,0.180561908,0.390151878
TLR7,-2.062447636,0.18057455,0.390151878
BAIAP2L2,2.854494659,0.180621394,0.390207376
PCBP2,-0.559141883,0.180645624,0.390214013
CDH2,-0.759597904,0.180693951,0.390272695
VLDLR,-1.822929823,0.180739669,0.390320611
TCAF2,1.674459243,0.180758463,0.390320611
PSMC4,0.994009957,0.180843527,0.390414861
PSMC4,0.994009957,0.180843527,0.390414861
CGRRF1,-1.229524729,0.180854176,0.390414861
NA,1.285199651,0.180865617,0.390414861
KCNMB4,1.012667201,0.180908368,0.390436007
SIPA1L2,0.631832518,0.180917753,0.390436007
F8,1.085652362,0.180970857,0.390495638
ADPRS,-1.151857837,0.180987731,0.390495638
SIRPB2,-1.350784971,0.181036867,0.390501395
SLC22A8,2.232217062,0.181060343,0.390501395
PDZD7,2.015415961,0.181068505,0.390501395
MSRB2,-1.330270323,0.181094459,0.390501395
ZC3H7B,-0.846789749,0.181096266,0.390501395
CDK2AP1,-0.799980708,0.181186657,0.390650633
PNMA2,1.348923791,0.181258549,0.390759956
CRISPLD2,-1.414903005,0.181432498,0.391089243
MLLT11,2.139006669,0.181469263,0.39112278
MYO10,0.789236594,0.181500448,0.391141119
PNMA1,-0.71359791,0.181520189,0.391141119
BICRA,0.83341381,0.181594623,0.391255797
CREBRF,-1.094670088,0.181668024,0.391368223
JAGN1,-1.941019404,0.181704303,0.391400661
WBP11,-1.248048395,0.181775924,0.391509209
ID2,-1.459806206,0.181906803,0.391745349
GTF2E1,-0.907863289,0.182058035,0.392023778
CISD3,-1.268851681,0.18210871,0.392023778
CISD3,-1.268851681,0.18210871,0.392023778
SLC22A4,1.648933432,0.182130752,0.392023778
TMCO6,0.948453691,0.182134995,0.392023778
ZNF780B,-0.791236821,0.182142371,0.392023778
ZNF780B,-0.791236821,0.182142371,0.392023778
SLC35A5,-1.1641402,0.182208614,0.392120592
CIART,1.939542473,0.182331134,0.392338479
PLK1,2.349251561,0.182421673,0.392422609
ASAP2,1.244446662,0.182438511,0.392422609
LOC100133091,-2.184833447,0.182456951,0.392422609
LOC100133091,-2.184833447,0.182456951,0.392422609
LAMB4,2.248813745,0.182471559,0.392422609
KAZN,0.958700962,0.18247662,0.392422609
UNC80,1.078061211,0.182602486,0.392647504
C3orf38,-1.351687014,0.182647954,0.392699489
FBXL15,-2.010709674,0.182697928,0.392761147
UBXN6,-0.724351928,0.18280531,0.392878414
EPN2,-1.133265233,0.182808479,0.392878414
FLACC1,1.806425849,0.182816383,0.392878414
RNLS,-2.470229363,0.183005272,0.393096916
ZNF516,1.023240611,0.183006033,0.393096916
AGTPBP1,-0.917933613,0.183010122,0.393096916
PDZRN3,-1.161526635,0.183024732,0.393096916
TOP2B,-0.774265926,0.183039168,0.393096916
TBX6,2.748767832,0.183045942,0.393096916
HINT2,-1.600821925,0.183202783,0.393387929
MGAT4A,-1.337898581,0.183363735,0.393687702
LINC00667,-0.95380148,0.183403906,0.393692364
PHF19,0.827967128,0.183473135,0.393692364
FKBP1AP1,1.667096818,0.183483871,0.393692364
TMEM86B,1.52508943,0.183494967,0.393692364
CMAHP,1.475480708,0.183520581,0.393692364
NAA35,0.899172653,0.183523161,0.393692364
TMEM35A,2.61190806,0.183527227,0.393692364
GRIPAP1,0.85495478,0.183536678,0.393692364
DSTYK,-1.037615575,0.183600417,0.39375576
ADCY5,1.631346532,0.183618017,0.39375576
FBXO36,1.708760397,0.183630282,0.39375576
ASRGL1,1.12481327,0.18368382,0.393824772
SERPINA5,2.693698254,0.183800403,0.394028924
MAGIX,2.702566985,0.183916019,0.394230955
RAI2,-0.950061587,0.18398215,0.394326879
